code,name,activity,days,start_time,end_time,room,section,teacher
701352,التشريح المرضي الخاص بالفم و الأسنان(1),عملي,الأحد,12:00 PM,4:00 PM,مخبر2,1,ه.ت
701352,التشريح المرضي الخاص بالفم و الأسنان(1),نظري,السبت,12:00 PM,4:00 PM,6125,1,د. اميره النور
701352,التشريح المرضي الخاص بالفم و الأسنان(1),عملي,الأحد,3:00 PM,4:00 PM,مخبر1,2,ه.ت
701371,مكافحة العدوى,نظري,الثلاثاء,10:00 AM,12:00 PM,6127,1,د.عبير احمد
701452,التشريح المرضي الخاص بالفم و الأسنان (2),نظري,الأحد,12:00 PM,4:00 PM,6120,1,د. أحمد منديلي
701452,التشريح المرضي الخاص بالفم و الأسنان (2),عملي,السبت,8:00 AM,12:00 PM,مخبر1,1,ه.ت
701452,التشريح المرضي الخاص بالفم و الأسنان (2),عملي,السبت,12:00 PM,4:00 PM,مخبر1,2,ه.ت
701575,طب الأسنان الشيخوخي,نظري,الاثنين,12:00 PM,2:00 PM,6022,1,د . سوسن طاهر
702221,طب المجتمع و طب الأسنان الشرعي,نظري,الاثنين,10:00 AM,2:00 PM,6121,1,د. أحمد منديلي
702301,الأمراض الجلدية و أمراض العين و الأذن و الأنف و الحنجرة,نظري,السبت,8:00 AM,12:00 PM,6118,1,د. جورجس داوود
702311,الطب الداخلي لطلبة طب الأسنان,نظري,السبت,8:00 AM,12:00 PM,6130,1,د. عبير قدار
703311,الجراحة العامة لطلبة طب الأسنان,نظري,الثلاثاء,8:00 AM,12:00 PM,6120,1,د.محمد يحيى محمد رئيف حمادة الخياط
703311,الجراحة العامة لطلبة طب الأسنان,عملي,الأحد,8:00 AM,12:00 PM,مخبر5,1,ه.ت
703311,الجراحة العامة لطلبة طب الأسنان,عملي,الاثنين,8:00 AM,12:00 PM,مخبر5,2,ه.ت
